Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies102955228,Salvar o fogo,Itamar Vieira Junior,"Junior, Itamar Vieira",,"=""6556924172""","=""9786556924175""",0,4.22,Todavia,Hardcover,320,2023,2023,,2024/09/07,to-read,to-read (#133),to-read,,,,0,0
82888,Dom Casmurro,Machado de Assis,"Assis, Machado de",,"=""0850515033""","=""9780850515039""",0,4.32,Luso-Brazilian Books,Paperback,176,2005,1899,,2024/07/04,currently-reading,currently-reading (#2),currently-reading,,,,1,0
34852067,Lugar de Negro,Lélia Gonzalez,"Gonzalez, Lélia",Carlos Hasenbalg,"=""""","=""""",0,4.37,Marco Zero,,115,1982,,,2024/08/21,to-read,to-read (#132),to-read,,,,0,0
500503,"Sailor Moon, Vol. 1 (Sailor Moon, #1)",Naoko Takeuchi,"Takeuchi, Naoko",,"=""189221301X""","=""9781892213013""",0,4.32,Tokyopop,Paperback,200,1998,1992,,2024/08/16,to-read,to-read (#131),to-read,,,,0,0
122779179,Na Sala dos Espelhos,Liv Strömquist,"Strömquist, Liv",Kristin Lie Garrubo,"=""6584953076""","=""9786584953079""",0,4.24,Quadrinhos na Cia,Paperback,168,2023,2021,,2024/08/10,to-read,to-read (#130),to-read,,,,0,0
2735090,Oms en série,Stefan Wul,"Wul, Stefan",,"=""2070415600""","=""9782070415601""",0,3.63,Folio,Mass Market Paperback,185,2000,1957,,2024/08/09,to-read,to-read (#129),to-read,,,,0,0
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""""","=""""",0,4.13,Vintage International,Paperback,467,2006,2002,,2024/07/18,to-read,to-read (#128),to-read,,,,0,0
194746,No Longer Human,Osamu Dazai,"Dazai, Osamu",Donald Keene,"=""""","=""""",0,3.99,New Directions,Paperback,176,1958,1948,,2024/07/18,to-read,to-read (#127),to-read,,,,0,0
6468157,Homunculus 1,Hideo Yamamoto,"Yamamoto, Hideo",,"=""""","=""""",0,4.24,,ebook,256,2002,2003,,2024/07/18,to-read,to-read (#126),to-read,,,,0,0
6585597,Deuses Americanos,Neil Gaiman,"Gaiman, Neil",Fátima Andrade,"=""9722341537""","=""9789722341530""",0,4.11,Editorial Presenca,Paperback,493,2009,2001,,2024/06/26,currently-reading,currently-reading (#1),currently-reading,,,,1,0
61024787,O céu entre mundos,Sandra Menezes,"Menezes, Sandra",,"=""6587746403""","=""9786587746401""",0,3.73,Editora Malê,Paperback,166,2021,,,2024/07/05,to-read,to-read (#125),to-read,,,,0,0
75254209,Quando os pássaros voltarem (Portuguese Edition),Fernando Aramburu,"Aramburu, Fernando","Ari Roitman, Paulina Wacht","=""6555604670""","=""9786555604672""",0,3.66,Intrínseca,Kindle Edition,747,2023,2021,,2024/07/04,to-read,to-read (#124),to-read,,,,0,0
39683789,A Ordem do Tempo,Carlo Rovelli,"Rovelli, Carlo",Silvana Cobucci,"=""8547000569""","=""9788547000561""",0,4.12,Objetiva,Paperback,192,2018,2017,,2024/07/04,to-read,to-read (#123),to-read,,,,0,0
200326949,Os rostos que tenho,Nélida Piñon,"Piñon, Nélida",,"=""6555878665""","=""9786555878660""",0,4.00,Record,Kindle Edition,302,2023,,,2024/07/04,to-read,to-read (#122),to-read,,,,0,0
45167397,A Ridícula Ideia de Nunca Mais Te Ver,Rosa Montero,"Montero, Rosa",,"=""858880882X""","=""9788588808829""",0,4.11,Todavia,Kindle Edition,231,2019,2013,,2024/07/04,to-read,to-read (#121),to-read,,,,0,0
202111721,O perigo de estar lúcida,Rosa Montero,"Montero, Rosa",,"=""6556925497""","=""9786556925493""",5,4.13,Todavia,Paperback,272,2023,2022,2024/07/04,2024/03/01,,,read,Este livro me tirou da solidão. Não existo sozinha.,,,1,0
276030,O Homem que Confundiu Sua Mulher com um Chapéu,Oliver Sacks,"Sacks, Oliver",Laura Teixeira Motta,"=""8571646899""","=""9788571646896""",0,4.05,Companhia das Letras,Paperback,272,1997,1985,,2020/12/04,abandonado-temporariamente,abandonado-temporariamente (#9),abandonado-temporariamente,,,,1,0
41885460,Assim falou Zaratustra (Portuguese Edition),Friedrich Nietzsche,"Nietzsche, Friedrich",,"=""8525431958""","=""9788525431950""",0,4.07,L&PM Editores,Kindle Edition,313,2014,1883,,2024/02/18,abandonado-temporariamente,abandonado-temporariamente (#8),abandonado-temporariamente,,,,1,0
56523604,É assim que se perde a guerra do tempo,Amal El-Mohtar,"El-Mohtar, Amal","Max Gladstone, Natalia Borges Polesso","=""6557821172""","=""9786557821176""",0,3.88,Suma,Kindle Edition,192,2021,2019,,2024/05/24,to-read,to-read (#120),to-read,,,,0,0
20744034,A Cabeça do Santo,Socorro Acioli,"Acioli, Socorro",,"=""8535923691""","=""9788535923698""",0,4.29,Companhia das Letras,Paperback,176,2014,2014,,2024/05/21,to-read,to-read (#119),to-read,,,,0,0
1820172,Violetas na Janela,Vera Lúcia Marinzeck de Carvalho,"Carvalho, Vera Lúcia Marinzeck de",Patricia,"=""857253010X""","=""""",0,3.93,Petit,Paperback,222,1994,1993,,2024/05/12,to-read,to-read (#118),to-read,,,,0,0
13000848,Anxiety and Evil in the Writings of Patricia Highsmith,Fiona Peters,"Peters, Fiona",,"=""1409423344""","=""9781409423348""",0,4.67,Routledge,Hardcover,210,2011,2011,,2024/05/01,to-read,to-read (#117),to-read,,,,0,0
251912,"Vagabond, Vol. 1",Takehiko Inoue,"Inoue, Takehiko",,"=""1591160340""","=""9781591160342""",0,4.46,VIZ Media LLC,Paperback,248,2002,1999,,2024/04/29,to-read,to-read (#116),to-read,,,,0,0
53201698,O Amanhã Não Está à Venda,Ailton Krenak,"Krenak, Ailton",,"=""""","=""""",0,4.29,Companhia das Letras,Kindle Edition,22,2020,2020,,2024/04/01,to-read,to-read (#115),to-read,,,,0,0
5152227,Eram os Deuses Astronautas?,Erich von Däniken,"Däniken, Erich von",,"=""8506032113""","=""""",0,3.53,Melhoramentos,Paperback,180,2008,1968,,2024/03/28,to-read,to-read (#114),to-read,,,,0,0
85403668,Viagem A Terra Do Brasil,Jean de Léry,"Léry, Jean de",,"=""8531904072""","=""9788531904073""",0,0.0,Itatiaia,Paperback,0,2007,,,2024/03/28,to-read,to-read (#113),to-read,,,,0,0
